URL,Name,Price,Rating,Reviews,Description,ASIN,Product Description,Manufacturer
/American-Tourister-LAPTOP-BACKPACK-POLYESTER/dp/B0BLCXMTZ7,American Tourister SPIN LAPTOP BACKPACK 28L POLYESTER BLACK,"₹1,399",3.4 out of 5 stars,25,,,,
/F-Gear-Blow-Laptop-Backpack/dp/B078J63VRY,"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Black,Grey) Sch Bag","₹1,299",4.3 out of 5 stars,"1,283",,,,
/DZert-Polyester-Pink-School-Backpack/dp/B077VFZHLL,DZert School Bag Backpack 30 Liters for Boys/Girls Polyester Lightweight Bag (Pink),₹319,3.6 out of 5 stars,"1,897",,,,
/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y3L4PHK,"TABELITO Casual Laptop Backpack 15.6-inch, 25 LTR Water Repellent",₹549,4.2 out of 5 stars,406,,,,
/Lavie-Extra-Large-Malnov-Womens/dp/B08LRFCBLW,Lavie Women's Malnov Tote Bag | Ladies Purse Handbag,₹959,4.1 out of 5 stars,"5,203",,,,
/SKYBAGS-Unisex-Luggage-Duffel-Bag-DFHUS55ONG/dp/B07F342RQD,"Skybags Unisex Polyester Solid Pattern Hustle Df 55 (Orange, Small)","₹1,699",4.3 out of 5 stars,301,,,,
/Safari-Formal-Backpack-Anti-Theft-VAULT19CBBLK/dp/B07XSTR69N,"Safari 48 Cms Black Formal/Office/Laptop Backpack With Anti-Theft, Lock, Usb And Rfid (Vault19Cbblk)","₹1,197",4.0 out of 5 stars,870,,,,
/Aristocrat-Green-Laptop-Backpack-LPBPLEX1SGN/dp/B085HNZ9GG,Aristocrat 34 Ltrs Sea Green Laptop Backpack (LPBPLEX1SGN),"₹1,524",4.3 out of 5 stars,195,,,,
/Duffel-Bag-Travelling-Lightweight-Waterproof/dp/B0BZT17QBL,KDR Duffel Bag for Travel | Packing Bags for Travelling | Large Capacity Folding Lightweight | Waterproof Carry Luggage Bag (Mint Green),₹149,2.8 out of 5 stars,11,,,,
/Amazon-Brand-Solimo-Cricket-Black/dp/B08J8L13V5,"Amazon Brand - Solimo Cricket Kit Bag, Black",₹849,4.3 out of 5 stars,64,,,,
/Skybags-Unisex-Black-Fabric-Backpacks/dp/B0B221QMF2,Skybags Unisex Black Gucci Fabric 10L Backpacks,₹448,3.9 out of 5 stars,103,,,,
/FUR-JADEN-Backpack-Organizer-Compartments/dp/B0BQYKTDCK,"FUR JADEN Faux Leather 15.6 Inch Premium Laptop Backpack 32L with Internal Organizer, 2 Large Compartments","₹2,199",4.5 out of 5 stars,102,,,,
/COSMUS-Polyester-Navy-Laptop-Backpack/dp/B01FVQLLU0,COSMUS Darwin Navy Blue Laptop Backpack for (15.6 inch),"₹1,333",4.3 out of 5 stars,"10,019",,,,
/Skybags-Unisex-Printed-School-Backpack/dp/B0C5WYR54R,"Skybags Unisex Printed School Backpack For Kids, 01 Black (Disney Mickey)",₹996.40,5.0 out of 5 stars,2,,,,
/ADISA-Laptop-Backpack-Office-College/dp/B0BVRJYD9Q,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Navy),₹599,3.7 out of 5 stars,37,,,,
/TRUE-HUMAN-Anti-Theft-backpack-combination/dp/B09VCHV6T5,"TRUE HUMAN® Emperor Anti-Theft backpack with combination lock Laptop bag,office bag for Men and Women | College Bags for Girls & Boys (Zyden)",₹675,3.7 out of 5 stars,"1,154",,,,
/Dybbuk-Laptop-Backpack-Resistance-15-6-inch/dp/B0C5HLBY7D,Dybbuk 25 Ltrs Laptop Backpack for Office & Travel Use for Men & Women | Water Resistance Bag | Fit Up to 15.6-inch Laptop,₹399,3.0 out of 5 stars,1,,,,
/Meek-Executive-Essential-17-5Inch-Lightweight/dp/B0C7WKWTZJ,"Meek HP Executive Essential Laptop Bag, 17.5Inch Padded Backpack Lightweight Bag - Grey Black",₹999.99,5.0 out of 5 stars,1,,,,
/Hammonds-Flycatcher-Messenger-Compartment-LB126BN/dp/B07PVQ9YXJ,HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Office Bag - Fits 14/15.6/16 Inch Laptop/MacBook -Brown Messenger Bag -Shoulder Bag & Backpack -Water Resistant - Executive Hand Bag for Office,"₹5,654",4.3 out of 5 stars,49,,,,
/American-Tourister-FS0-11-001/dp/B07S13P8BW,American Tourister Spin 49 cms Teal Laptop Backpack,"₹1,699",4.0 out of 5 stars,"1,477",,,,
/Ant-Esports-Knight-protection-Laptop-Dynamic/dp/B0BZ4WCJHR,"Ant Esports Knight Cobra 23, Large 38L Stylish unisex backpack with USB Charging Port, Earphone/Headphone Port, with rain protection cover and reflective strip, fits upto 17"" Laptop-Dynamic Blue",₹699,4.0 out of 5 stars,4,,,,
/Swiss-Military-Polyester-Trolley-LTB4A/dp/B0BHJD7TGB,"Swiss Military Polyester Soft Roller Case, Laptop Roller Case, 23 Ltrs Laptop Trolley Bag, LTB4A Black Color","₹3,240",3.0 out of 5 stars,9,,,,
/OMRON-BAGS-Backpack-Black-New/dp/B0BLJZGTMZ,OMRON BAGS Large 40 L Laptop Backpack For Men and Women,₹699,5.0 out of 5 stars,3,,,,
